name,image_id,confidence,xmin,ymin,xmax,ymax
cube,476,0.9963361620903015,489.2696228027344,1315.8447265625,585.3667602539062,1390.1326904296875
ball,476,0.1482233852148056,465.78729248046875,927.3649291992188,514.1004638671875,999.88916015625
cube,0,0.825487494468689,185.7808074951172,1433.431396484375,239.32115173339844,1493.9764404296875
tyre,0,0.18278980255126953,406.73895263671875,1317.912109375,441.82855224609375,1393.200927734375
tyre,0,0.7606549263000488,406.10003662109375,1317.3646240234375,442.44024658203125,1394.5703125
square cage,0,0.12893381714820862,185.83836364746094,1433.3271484375,239.22103881835938,1494.1209716796875
ball,1,0.9686805605888367,349.3690185546875,571.3472900390625,405.3313903808594,619.5299072265625
human body,1,0.9895757436752319,484.1263122558594,506.37939453125,598.159912109375,573.3610229492188
circle cage,1,0.4684178829193115,359.17498779296875,751.078369140625,436.64825439453125,787.7427978515625
circle cage,1,0.0647115707397461,362.83746337890625,764.45068359375,441.58502197265625,797.3722534179688
human body,10,0.2107403725385666,169.1644744873047,509.11663818359375,223.55612182617188,638.1466064453125
ball,100,0.9868762493133545,246.2494354248047,1338.639404296875,285.36663818359375,1412.9412841796875
square cage,100,0.9784078001976013,184.571533203125,1451.3035888671875,242.922607421875,1522.872314453125
cylinder,101,0.9611684083938599,474.58831787109375,740.031494140625,517.0955810546875,777.5848999023438
ball,102,0.9861397743225098,401.46221923828125,963.8712768554688,447.3028564453125,1015.5975952148438
circle cage,102,0.9850735664367676,255.66888427734375,713.1127319335938,294.1420593261719,758.3851318359375
ball,103,0.9870024919509888,193.0616912841797,1352.30419921875,228.7312469482422,1427.7406005859375
human body,103,0.9880988001823425,358.03277587890625,1249.9759521484375,448.8708190917969,1322.792236328125
human body,104,0.7810987830162048,181.114013671875,525.9171142578125,225.1908416748047,612.7709350585938
cube,105,0.9937472343444824,236.80450439453125,1062.531982421875,341.0565490722656,1129.649658203125
ball,105,0.9879441261291504,556.8341064453125,730.0401611328125,624.3472290039062,804.5138549804688
ball,106,0.985675573348999,217.56492614746094,668.1220092773438,257.1604919433594,743.9017944335938
tyre,106,0.9973753690719604,243.81686401367188,764.85986328125,297.96868896484375,859.4401245117188
square cage,106,0.9860551357269287,151.57318115234375,803.1661987304688,223.31651306152344,882.17431640625
ball,107,0.9750110507011414,151.47332763671875,1300.357421875,195.0915985107422,1372.43212890625
human body,107,0.052153460681438446,297.45111083984375,1275.83740234375,370.0497741699219,1366.283935546875
human body,107,0.7967737913131714,295.2293395996094,1274.820068359375,371.574462890625,1366.595703125
human body,107,0.2539716958999634,297.45111083984375,1275.83740234375,370.0497741699219,1366.283935546875
circle cage,107,0.11302544921636581,51.338592529296875,1470.561767578125,115.22305297851562,1546.4970703125
circle cage,107,0.6726648807525635,51.50056076049805,1470.58935546875,114.91189575195312,1546.3988037109375
circle cage,107,0.11387662589550018,51.417320251464844,1470.5,114.7185287475586,1546.385009765625
metal bucket,107,0.07708567380905151,298.40057373046875,1276.85009765625,369.7132568359375,1366.9158935546875
human body,108,0.9704602956771851,487.14202880859375,326.2312316894531,565.562744140625,451.0761413574219
ball,109,0.9836667776107788,366.467041015625,1081.567626953125,416.49920654296875,1134.6026611328125
human body,109,0.9899390935897827,531.6143188476562,1059.75341796875,687.5924072265625,1142.240234375
circle cage,109,0.9727970361709595,144.94895935058594,1225.051025390625,228.3424072265625,1281.7952880859375
human body,11,0.9434695243835449,538.60986328125,326.4456481933594,612.6380004882812,407.5701599121094
ball,110,0.9905699491500854,183.4036102294922,1272.67822265625,218.33786010742188,1339.5843505859375
human body,110,0.7696099281311035,209.28402709960938,1081.599609375,238.39060974121094,1196.858154296875
circle cage,110,0.9575077891349792,218.13287353515625,1518.764404296875,282.56524658203125,1588.1932373046875
ball,111,0.9852902293205261,169.7388916015625,1265.6689453125,209.20098876953125,1334.3857421875
human body,111,0.8973939418792725,199.69595336914062,1074.9150390625,231.1616668701172,1192.7001953125
circle cage,111,0.053397923707962036,250.81625366210938,1514.1209716796875,318.883056640625,1590.191162109375
circle cage,111,0.9165985584259033,250.91549682617188,1513.9881591796875,318.8865966796875,1590.3408203125
ball,112,0.3478724956512451,360.2647705078125,1112.39892578125,405.6027526855469,1156.922607421875
ball,112,0.08699554204940796,361.94696044921875,1110.98388671875,404.8631286621094,1156.48974609375
ball,113,0.9869849681854248,512.9817504882812,919.9967651367188,564.3428955078125,971.2384033203125
square cage,113,0.9819626808166504,421.536865234375,1033.1737060546875,514.172119140625,1078.0076904296875
ball,114,0.9939885139465332,353.5119323730469,922.49462890625,439.2471923828125,1000.9315185546875
tyre,114,0.995109498500824,443.33428955078125,655.23486328125,535.1656494140625,728.0939331054688
cube,115,0.9950065016746521,220.33682250976562,845.2582397460938,263.2159423828125,886.2716674804688
cube,117,0.7376693487167358,331.93634033203125,1221.822998046875,412.81964111328125,1319.61962890625
cube,117,0.154241681098938,307.39117431640625,1224.244873046875,422.51318359375,1364.302978515625
cylinder,117,0.165000781416893,218.22213745117188,1326.701416015625,339.893798828125,1424.9749755859375
ball,118,0.9861289858818054,507.4019470214844,909.155517578125,557.1038818359375,958.995361328125
square cage,118,0.9814814329147339,407.8578796386719,1026.4189453125,496.36859130859375,1070.168212890625
ball,119,0.9814738035202026,168.20144653320312,1267.541259765625,207.6724853515625,1346.33740234375
human body,119,0.074277363717556,201.74365234375,1085.10791015625,232.15377807617188,1195.7977294921875
human body,119,0.7753965258598328,201.63198852539062,1085.290771484375,231.92190551757812,1197.633544921875
circle cage,119,0.07303467392921448,256.0458068847656,1523.1351318359375,323.2535095214844,1597.0029296875
circle cage,119,0.9120256304740906,255.7777557373047,1523.5286865234375,323.3699645996094,1596.8387451171875
cylinder,12,0.9236935973167419,290.41253662109375,745.921875,338.615478515625,781.779052734375
circle cage,12,0.1492205113172531,922.8736572265625,745.5482177734375,998.5160522460938,786.7606201171875
cylinder,120,0.20406055450439453,214.37704467773438,545.4310913085938,250.82711791992188,619.779296875
cylinder,120,0.47118139266967773,214.597412109375,546.178466796875,250.75033569335938,619.30859375
cylinder,120,0.12676379084587097,214.33860778808594,545.94873046875,250.8597869873047,619.4906005859375
cylinder,120,0.11942102760076523,214.3048553466797,545.8670043945312,250.830078125,619.6787109375
ball,121,0.9873928427696228,158.24200439453125,1303.23876953125,202.68064880371094,1372.143310546875
human body,121,0.9945151209831238,274.846435546875,1161.0311279296875,358.7539978027344,1248.440673828125
ball,122,0.9839959144592285,444.3905944824219,658.212890625,512.5875244140625,750.3345947265625
cube,123,0.9968279600143433,431.2742614746094,1041.214111328125,523.925048828125,1109.7021484375
cylinder,124,0.9123415946960449,540.54931640625,826.8223876953125,596.535400390625,890.4030151367188
circle cage,124,0.9726248979568481,286.58770751953125,702.0463256835938,372.7816162109375,760.2245483398438
ball,125,0.9841041564941406,262.7108154296875,1315.699951171875,298.6541748046875,1387.459716796875
metal bucket,125,0.31127917766571045,396.07452392578125,1425.26416015625,467.2783203125,1488.7928466796875
metal bucket,125,0.6511005163192749,396.075439453125,1425.247314453125,467.2746276855469,1488.7835693359375
cylinder,126,0.9272621870040894,286.0335693359375,724.5518798828125,332.1012878417969,761.2111206054688
cube,127,0.9958917498588562,211.22894287109375,843.8538818359375,255.28704833984375,885.572509765625
ball,128,0.9839867353439331,252.586669921875,1129.4188232421875,289.32342529296875,1198.8568115234375
tyre,128,0.9891271591186523,301.100830078125,1238.768310546875,361.05950927734375,1323.2423095703125
metal bucket,128,0.11371242254972458,302.0361022949219,1345.72265625,385.6714782714844,1414.0751953125
metal bucket,128,0.9418184757232666,301.9537353515625,1347.750732421875,386.132568359375,1414.277099609375
cube,129,0.9944132566452026,399.3445739746094,1332.20947265625,501.7540283203125,1409.6826171875
ball,129,0.9922170639038086,426.19964599609375,990.1395263671875,486.08148193359375,1076.198486328125
ball,13,0.3510685861110687,292.4826965332031,1016.6644287109375,341.8427734375,1095.64697265625
ball,13,0.21294163167476654,243.18710327148438,916.236083984375,303.106201171875,960.9632568359375
ball,13,0.1696067452430725,264.64849853515625,912.0770874023438,309.6806945800781,947.60498046875
ball,13,0.0629483088850975,274.7474365234375,903.2406005859375,311.7179870605469,938.3085327148438
ball,13,0.058299969881772995,266.9880065917969,920.8349609375,315.9776611328125,960.1320190429688
tyre,13,0.050208039581775665,292.5579528808594,1016.7689208984375,341.826904296875,1095.6107177734375
tyre,13,0.4840375781059265,292.5916442871094,1016.7437744140625,341.7801208496094,1095.644287109375
circle cage,13,0.9620380401611328,303.13165283203125,723.135498046875,346.6480712890625,763.7575073242188
ball,130,0.9524282217025757,347.48760986328125,984.99267578125,398.3797302246094,1037.596923828125
tyre,130,0.9840188026428223,111.08528900146484,974.6888427734375,171.5220947265625,1045.884033203125
circle cage,130,0.9798612594604492,269.4400329589844,731.8365478515625,311.0897521972656,778.134521484375
ball,131,0.9812263250350952,251.0245361328125,1126.905029296875,287.79705810546875,1199.043701171875
tyre,131,0.9893938899040222,296.98211669921875,1232.759033203125,360.8988952636719,1322.697509765625
metal bucket,131,0.18488483130931854,289.1691589355469,1344.1707763671875,368.531494140625,1424.60009765625
metal bucket,131,0.9123114347457886,289.1512756347656,1350.1015625,368.9554138183594,1424.96728515625
cube,132,0.9829632639884949,412.9256286621094,1120.479248046875,494.453369140625,1209.4095458984375
ball,132,0.663861870765686,428.1885986328125,817.2216796875,492.6514892578125,887.7619018554688
ball,133,0.7697722315788269,656.5758666992188,1042.578857421875,712.4901733398438,1092.9710693359375
